"","Date","variable","value"
"1",2012-06-27,"Lamp",0
"2",2012-06-28,"Lamp",4.04861111111111
"3",2012-06-29,"Lamp",6.15583333333333
"4",2012-06-30,"Lamp",0.117222222222222
"5",2012-07-01,"Lamp",0.0391666666666667
"6",2012-07-02,"Lamp",0
"7",2012-07-03,"Lamp",0
"8",2012-07-04,"Lamp",0
"9",2012-07-05,"Lamp",0.000555555555555556
"10",2012-07-06,"Lamp",0.000555555555555556
"11",2012-07-07,"Lamp",0.1725
"12",2012-07-08,"Lamp",0
"13",2012-07-09,"Lamp",0.000277777777777778
"14",2012-07-10,"Lamp",0.000277777777777778
"15",2012-07-11,"Lamp",0
"16",2012-07-12,"Lamp",0.348333333333333
"17",2012-07-13,"Lamp",0.568333333333333
"18",2012-07-14,"Lamp",15.2713888888889
"19",2012-07-15,"Lamp",14.9441666666667
"20",2012-07-16,"Lamp",11.0716666666667
"21",2012-07-17,"Lamp",11.1386111111111
"22",2012-07-18,"Lamp",11.1647222222222
"23",2012-07-19,"Lamp",10.8408333333333
"24",2012-07-20,"Lamp",10.6455555555556
"25",2012-07-21,"Lamp",10.8352777777778
"26",2012-07-22,"Lamp",11.1927777777778
"27",2012-07-23,"Lamp",10.89
"28",2012-07-24,"Lamp",10.9005555555556
"29",2012-07-25,"Lamp",11.1311111111111
"30",2012-07-26,"Lamp",10.7008333333333
"31",2012-07-27,"Lamp",10.7025
"32",2012-07-28,"Lamp",10.8077777777778
"33",2012-07-29,"Lamp",11.4911111111111
"34",2012-07-30,"Lamp",10.5866666666667
"35",2012-07-31,"Lamp",10.8397222222222
"36",2012-08-01,"Lamp",10.9394444444444
"37",2012-08-02,"Lamp",10.8505555555556
"38",2012-08-03,"Lamp",10.4083333333333
"39",2012-08-04,"Lamp",10.8822222222222
"40",2012-08-05,"Lamp",10.6888888888889
"41",2012-08-06,"Lamp",10.8383333333333
"42",2012-08-07,"Lamp",10.5352777777778
"43",2012-08-08,"Lamp",10.4497222222222
"44",2012-08-09,"Lamp",10.1138888888889
"45",2012-08-10,"Lamp",10.3394444444444
"46",2012-08-11,"Lamp",10.4261111111111
"47",2012-08-12,"Lamp",9.74833333333333
"48",2012-08-13,"Lamp",10.2175
"49",2012-08-14,"Lamp",10.2855555555556
"50",2012-08-15,"Lamp",10.5233333333333
"51",2012-08-16,"Lamp",10.1816666666667
"52",2012-08-17,"Lamp",10.8858333333333
"53",2012-08-18,"Lamp",9.67527777777778
"54",2012-08-19,"Lamp",9.86694444444444
"55",2012-08-20,"Lamp",10.2911111111111
"56",2012-08-21,"Lamp",10.4519444444444
"57",2012-08-22,"Lamp",10.2794444444444
"58",2012-08-23,"Lamp",10.3875
"59",2012-08-24,"Lamp",10.4125
"60",2012-08-25,"Lamp",16.4683333333333
"61",2012-08-26,"Lamp",15.3969444444444
"62",2012-08-27,"Lamp",12.8791666666667
"63",2012-08-28,"Lamp",20.6075
"64",2012-08-29,"Lamp",10.2402777777778
"65",2012-08-30,"Lamp",10.4341666666667
"66",2012-08-31,"Lamp",10.5986111111111
"67",2012-09-01,"Lamp",10.4786111111111
"68",2012-09-02,"Lamp",10.3469444444444
"69",2012-09-03,"Lamp",10.3086111111111
